	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
80724	8.328364367	8.796602621	8.697448229	7.783878296	9.342934916	9.05180602	8.186473816	8.651104804
84129	6.929117536	7.200873109	6.635545458	7.299534992	7.266249646	7.017900757	6.914188972	7.598568427
27034	7.137841616	9.070750761	8.118558552	8.264364247	8.698138241	8.498840034	7.734935151	7.906579782
28976	9.534825582	9.402986025	9.679621547	10.61462611	9.273578363	9.618471217	9.124343387	9.338533388
33	1.752791401	1.396543134	1.808302667	0.726744042	1.65558081	1.319213275	2.318172203	1.656587895
34	9.439782482	9.992302504	8.997353102	6.253821018	10.32014549	9.641612859	9.312911764	9.19303444
36	7.836206928	8.934172358	8.175857891	8.424173009	9.512524586	9.264047975	8.354051425	8.280709999
35	8.967533501	11.07993372	9.42779073	10.00081072	11.66881351	9.980099582	9.144810661	9.442965053
37	10.24271218	11.28686891	11.91890359	10.75478965	12.48369211	11.60138291	11.0887059	11.27270373
176	8.593840016	7.680054248	8.791426979	7.352352463	9.35482987	7.719180702	7.445024781	8.481490682
9744	4.056782926	7.204870411	7.06203858	7.521295773	6.23253605	4.299508434	8.172042405	5.312824883
23527	11.17598292	10.67280418	10.40027395	10.41757006	10.93119025	10.57328439	10.43360891	10.9222655
116983	9.920331118	9.093835324	8.276348238	9.338582413	8.93184938	10.17149483	8.413090943	9.481154211
38	7.664826264	9.560878662	8.884757248	8.282683508	9.594404855	8.793170192	9.729231384	8.18028265
39	9.58350216	7.271939179	6.887190146	9.247804832	8.150875435	9.412168207	8.212162697	8.407859169
64746	12.16021583	11.04189655	11.47395891	11.15521878	10.64637159	11.05129154	11.12661911	10.53397569
79777	6.962509693	7.236453393	6.988132495	8.435133499	7.684113905	7.474293259	6.429210882	8.200030521
91452	11.12545306	10.45936891	9.812726356	9.055571759	9.54542131	10.5852697	9.610503894	9.80917791
84320	9.721550046	8.360869465	8.490528415	9.399865779	8.886920162	9.294427534	8.749880821	8.594841493
414149	8.834545632	4.963663696	5.649983271	7.976241038	5.459785691	5.565447903	4.700944573	7.518561103
40	1.534061602	1.153481099	0.875072301	2.095721922	1.053319904	1.085084679	0.786512725	0
41	6.40768925	5.055061133	6.280559221	4.005597604	4.70540292	7.759561335	5.102044982	6.713475875
9311	4.707221069	2.092647217	3.404943983	3.817377671	4.036696735	4.353273883	3.222866372	3.067053536
55515	2.396734918	0	0.502941568	0	0.441908364	1.085084679	0.44625623	1.343464676
51802	0	0	0	0	0	0	0	0
390110	0	0.493852248	0	0	0	0	0	0
84680	6.478420176	6.598698683	5.416360115	8.031449235	6.611381922	7.98703828	4.172743517	8.397147081
65057	7.862890853	8.22970183	8.744501542	9.347166676	7.900823345	9.4327371	8.995039261	9.314374103
59272	6.617241171	7.659813984	7.419197559	11.07164805	3.834063941	7.855829029	10.69217748	7.580137945
125981	0	0	0	1.567837462	0	0	0	0.691623493
340485	2.741596419	6.145593907	6.427602821	4.118691953	6.647936128	8.147799183	6.268930253	6.419029814
55331	10.08922138	9.526958285	9.068560917	9.655532512	9.743006612	9.523470413	9.961992954	9.978814261
1636	9.192244477	9.59249516	9.690621549	9.24810001	11.38600731	10.5021812	9.174977349	10.70026371
43	5.692625265	6.068722396	6.983385843	4.694066707	9.894660301	7.118358688	6.234622025	7.891710807
